is selected,Best A,Best B,Select A,Select B,Best R,Best U,Select R,Select U,price,otherSupplierRank,bestDelta,nextDelta,dropRatio,MappedDropRatio
1,0,1,0,1,1,0,1,0,0.04213,1,0,-0.00057,0,0
0,0,1,0,1,1,0,1,0,0.0427,2,0.00057,-0.0003,0,0
0,0,1,0,1,1,0,1,0,0.043,3,0.00087,-0.00038,0,0
0,0,1,0,1,1,0,1,0,0.04338,4,0.00125,-0.00011,0,0
0,0,1,0,1,1,0,1,0,0.04349,5,0.00136,-0.00004,0,0
0,0,1,0,1,1,0,1,0,0.04353,6,0.0014,-0.0011,0,0
0,0,1,0,1,1,0,1,0,0.04463,7,0.0025,-0.00101,0,0
0,0,1,0,1,1,0,1,0,0.04564,8,0.00351,-0.00356,0,0
0,0,1,0,1,1,0,1,0,0.0492,9,0.00707,0,0,0
0,0,0,1,0,1,0,0,0,0.06983,1,0,-0.00617,0,0
0,0,0,1,0,1,0,0,0,0.076,2,0.00617,-0.00662,0,0
1,0,0,1,0,1,0,0,0,0.08262,3,0.01279,0,0,0
1,1,0,1,0,0,0,0,0,0.160566,1,0,-0.007534,0,0
0,1,0,1,0,0,0,0,0,0.1681,2,0.007534,-0.00923,0,0
0,1,0,1,0,0,0,0,0,0.17733,3,0.016764,-0.0163,0,0
0,1,0,1,0,0,0,0,0,0.19363,4,0.033064,0,0,0
1,0,0,0,0,1,0,1,0,0.07377,1,0,-0.00543,0,0
0,0,0,0,0,1,0,1,0,0.0792,2,0.00543,-0.0008,0,0
0,0,0,0,0,1,0,1,0,0.0792,2,0.00543,-0.0008,0,0
0,0,0,0,0,1,0,1,0,0.0792,2,0.00543,-0.0008,0,0
0,0,0,0,0,1,0,1,0,0.08,5,0.00623,-0.00471,0,0
0,0,0,0,0,1,0,1,0,0.08471,6,0.01094,-0.00204,0,0
0,0,0,0,0,1,0,1,0,0.08675,7,0.01298,0,0,0
0,0,1,1,0,1,0,0,0,0.0781,1,0,-0.00071,0,0
0,0,1,1,0,1,0,0,0,0.0781,1,0,-0.00071,0,0
0,0,1,1,0,1,0,0,0,0.0781,1,0,-0.00071,0,0
0,0,1,1,0,1,0,0,0,0.07881,4,0.00071,-0.00045,0,0
1,0,1,1,0,1,0,0,0,0.07926,5,0.00116,-0.00064,0,0
0,0,1,1,0,1,0,0,0,0.0799,6,0.0018,-0.00122,0,0
0,0,1,1,0,1,0,0,0,0.08112,7,0.00302,-0.00158,0,0
0,0,1,1,0,1,0,0,0,0.0827,8,0.0046,-0.0008,0,0
0,0,1,1,0,1,0,0,0,0.0835,9,0.0054,-0.00012,0,0
0,0,1,1,0,1,0,0,0,0.08362,10,0.00552,-0.00108,0,0
0,0,1,1,0,1,0,0,0,0.0847,11,0.0066,-0.00142,0,0
0,0,1,1,0,1,0,0,0,0.08612,12,0.00802,-0.00115,0,0
0,0,1,1,0,1,0,0,0,0.08727,13,0.00917,0,0,0
0,1,0,1,0,0,1,0,1,0.09459,4,0.01349,0,0,0
1,1,0,1,0,0,1,0,1,0.0811,1,0,-0.0067,0,0
0,1,0,1,0,0,1,0,1,0.0878,2,0.0067,-0.0001,0,0
0,1,0,1,0,0,1,0,1,0.0879,3,0.0068,-0.00669,0,0
1,1,0,1,0,0,0,0,0,0.164485,1,0,-0.009115,0,0
0,1,0,1,0,0,0,0,0,0.1736,2,0.009115,-0.02288,0,0
0,1,0,1,0,0,0,0,0,0.19648,3,0.031995,0,0,0
1,0,1,0,1,0,1,0,1,0.129707,1,0,-0.002335,0,0
0,0,1,0,1,0,1,0,1,0.132042,2,0.002335,-0.002334,0,0
0,0,1,0,1,0,1,0,1,0.134376,3,0.004669,-0.016023,0,0
0,0,1,0,1,0,1,0,1,0.150399,4,0.020692,-0.008601,0,0
0,0,1,0,1,0,1,0,1,0.159,5,0.029293,0,0,0
0,0,1,0,1,1,0,0,1,0.085013,1,0,-0.002387,0,0
0,0,1,0,1,1,0,0,1,0.085013,1,0,-0.002387,0,0
0,0,1,0,1,1,0,0,1,0.085013,1,0,-0.002387,0,0
1,0,1,0,1,1,0,0,1,0.0874,4,0.002387,0,0,0
1,0,0,0,0,1,0,1,0,0.04438,1,0,-0.01524,4.45,1
0,0,0,0,0,1,0,1,0,0.05962,2,0.01524,-0.00118,4.45,1
0,0,0,0,0,1,0,1,0,0.0608,3,0.01642,-0.0052,4.45,1
0,0,0,0,0,1,0,1,0,0.066,4,0.02162,-0.0019,4.45,1
0,0,0,0,0,1,0,1,0,0.0679,5,0.02352,-0.002,4.45,1
0,0,0,0,0,1,0,1,0,0.0699,6,0.02552,-0.01388,4.45,1
0,0,0,0,0,1,0,1,0,0.08378,7,0.0394,0,4.45,1
1,0,1,0,1,0,1,0,1,0.05801,1,0,-0.001,4.45,1
0,0,1,0,1,0,1,0,1,0.05901,2,0.001,-0.00125,4.45,1
0,0,1,0,1,0,1,0,1,0.06026,3,0.00225,-0.00125,4.45,1
0,0,1,0,1,0,1,0,1,0.06151,4,0.0035,-0.00676,4.45,1
0,0,1,0,1,0,1,0,1,0.06827,5,0.01026,-0.00243,4.45,1
0,0,1,0,1,0,1,0,1,0.0707,6,0.01269,-0.01849,4.45,1
0,0,1,0,1,0,1,0,1,0.08919,7,0.03118,0,4.45,1
1,0,1,0,1,0,1,0,1,0.05792,1,0,-0.00094,4.45,1
0,0,1,0,1,0,1,0,1,0.05886,2,0.00094,-0.00125,4.45,1
0,0,1,0,1,0,1,0,1,0.06011,3,0.00219,-0.00059,4.45,1
0,0,1,0,1,0,1,0,1,0.0607,4,0.00278,-0.00066,4.45,1
0,0,1,0,1,0,1,0,1,0.06136,5,0.00344,-0.00159,4.45,1
0,0,1,0,1,0,1,0,1,0.06295,6,0.00503,-0.00765,4.45,1
0,0,1,0,1,0,1,0,1,0.0706,7,0.01268,-0.01345,4.45,1
0,0,1,0,1,0,1,0,1,0.08405,8,0.02613,0,4.45,1
0,0,1,0,1,0,1,1,0,0.05736,1,0,-0.00145,4.45,1
1,0,1,0,1,0,1,1,0,0.05881,2,0.00145,-0.00053,4.45,1
0,0,1,0,1,0,1,1,0,0.05934,3,0.00198,-0.00072,4.45,1
0,0,1,0,1,0,1,1,0,0.06006,4,0.0027,-0.00125,4.45,1
0,0,1,0,1,0,1,1,0,0.06131,5,0.00395,-0.0012,4.45,1
0,0,1,0,1,0,1,1,0,0.06251,6,0.00515,-0.00349,4.45,1
0,0,1,0,1,0,1,1,0,0.066,7,0.00864,-0.0034,4.45,1
0,0,1,0,1,0,1,1,0,0.0694,8,0.01204,0,4.45,1
1,0,1,0,1,0,1,0,1,0.05792,1,0,-0.00094,4.45,1
0,0,1,0,1,0,1,0,1,0.05886,2,0.00094,-0.00125,4.45,1
0,0,1,0,1,0,1,0,1,0.06011,3,0.00219,-0.00059,4.45,1
0,0,1,0,1,0,1,0,1,0.0607,4,0.00278,-0.00066,4.45,1
0,0,1,0,1,0,1,0,1,0.06136,5,0.00344,-0.00382,4.45,1
0,0,1,0,1,0,1,0,1,0.06518,6,0.00726,-0.00542,4.45,1
0,0,1,0,1,0,1,0,1,0.0706,7,0.01268,-0.01845,4.45,1
0,0,1,0,1,0,1,0,1,0.08905,8,0.03113,0,4.45,1
1,0,1,0,1,0,1,0,1,0.05523,1,0,-0.00341,4.45,1
0,0,1,0,1,0,1,0,1,0.05864,2,0.00341,-0.00125,4.45,1
0,0,1,0,1,0,1,0,1,0.05989,3,0.00466,-0.00041,4.45,1
0,0,1,0,1,0,1,0,1,0.0603,4,0.00507,-0.00084,4.45,1
0,0,1,0,1,0,1,0,1,0.06114,5,0.00591,-0.00216,4.45,1
0,0,1,0,1,0,1,0,1,0.0633,6,0.00807,-0.0032,4.45,1
0,0,1,0,1,0,1,0,1,0.0665,7,0.01127,-0.0007,4.45,1
0,0,1,0,1,0,1,0,1,0.0672,8,0.01197,-0.0027,4.45,1
0,0,1,0,1,0,1,0,1,0.0699,9,0.01467,-0.01366,4.45,1
0,0,1,0,1,0,1,0,1,0.08356,10,0.02833,0,4.45,1
1,0,1,0,1,1,0,1,0,0.05864,1,0,-0.00125,4.45,1
0,0,1,0,1,1,0,1,0,0.05989,2,0.00125,-0.00041,4.45,1
0,0,1,0,1,1,0,1,0,0.0603,3,0.00166,-0.00084,4.45,1
0,0,1,0,1,1,0,1,0,0.06114,4,0.0025,-0.00684,4.45,1
0,0,1,0,1,1,0,1,0,0.06798,5,0.00934,-0.00192,4.45,1
0,0,1,0,1,1,0,1,0,0.0699,6,0.01126,0,4.45,1
1,1,0,1,0,0,0,0,0,0.605,1,0,-0.0749,4.45,1
0,1,0,1,0,0,0,0,0,0.6799,2,0.0749,-0.0191,4.45,1
0,1,0,1,0,0,0,0,0,0.699,3,0.094,0,4.45,1
0,0,0,0,1,1,0,0,1,0.08729,1,0,-0.00229,4.45,1
1,0,0,0,1,1,0,0,1,0.08958,2,0.00229,-0.0025,4.45,1
0,0,0,0,1,1,0,0,1,0.09208,3,0.00479,-0.0025,4.45,1
0,0,0,0,1,1,0,0,1,0.09458,4,0.00729,-0.00112,4.45,1
0,0,0,0,1,1,0,0,1,0.0957,5,0.00841,-0.008279,4.45,1
0,0,0,0,1,1,0,0,1,0.103979,6,0.016689,0,4.45,1
1,0,1,0,1,1,0,1,0,0.635,1,0,-0.0538,4.45,1
0,0,1,0,1,1,0,1,0,0.6888,2,0.0538,-0.0022,4.45,1
0,0,1,0,1,1,0,1,0,0.691,3,0.056,-0.029,4.45,1
0,0,1,0,1,1,0,1,0,0.72,4,0.085,-0.442,4.45,1
0,0,1,0,1,1,0,1,0,1.162,5,0.527,0,4.45,1
1,0,0,0,0,1,0,1,0,0.022,1,0,-0.0096,4.45,1
0,0,0,0,0,1,0,1,0,0.0316,2,0.0096,-0.0042,4.45,1
0,0,0,0,0,1,0,1,0,0.0358,3,0.0138,-0.0087,4.45,1
0,0,0,0,0,1,0,1,0,0.0445,4,0.0225,0,4.45,1
1,1,0,1,0,1,0,1,0,0.4731,1,0,-0.0179,4.45,1
0,1,0,1,0,1,0,1,0,0.491,2,0.0179,-0.048,4.45,1
0,1,0,1,0,1,0,1,0,0.539,3,0.0659,0,4.45,1
0,0,0,1,0,1,0,0,0,0.05443,1,0,-0.00108,44.14,1
1,0,0,1,0,1,0,0,0,0.05551,2,0.00108,-0.00302,44.14,1
0,0,0,1,0,1,0,0,0,0.05853,3,0.0041,-0.00888,44.14,1
0,0,0,1,0,1,0,0,0,0.06741,4,0.01298,0,44.14,1
1,1,0,1,0,0,0,0,0,0.12022,1,0,-0.01152,44.14,1
0,1,0,1,0,0,0,0,0,0.13174,2,0.01152,-0.00023,44.14,1
0,1,0,1,0,0,0,0,0,0.13197,3,0.01175,-0.00853,44.14,1
0,1,0,1,0,0,0,0,0,0.1405,4,0.02028,-0.00088,44.14,1
0,1,0,1,0,0,0,0,0,0.14138,5,0.02116,-0.00162,44.14,1
0,1,0,1,0,0,0,0,0,0.143,6,0.02278,0,44.14,1
1,0,1,0,1,0,1,0,1,0.05607,1,0,-0.00125,0,0
0,0,1,0,1,0,1,0,1,0.05732,2,0.00125,-0.00125,0,0
0,0,1,0,1,0,1,0,1,0.05857,3,0.0025,-0.00823,0,0
0,0,1,0,1,0,1,0,1,0.0668,4,0.01073,-0.0013,0,0
0,0,1,0,1,0,1,0,1,0.0681,5,0.01203,-0.00361,0,0
0,0,1,0,1,0,1,0,1,0.07171,6,0.01564,-0.00299,0,0
0,0,1,0,1,0,1,0,1,0.0747,7,0.01863,0,0,0
1,0,1,0,1,0,1,0,1,0.398,1,0,-0.032,7.75,1
0,0,1,0,1,0,1,0,1,0.43,2,0.032,-0.015,7.75,1
0,0,1,0,1,0,1,0,1,0.445,3,0.047,-0.0695,7.75,1
0,0,1,0,1,0,1,0,1,0.5145,4,0.1165,0,7.75,1
1,0,1,0,1,0,1,0,1,0.379,1,0,-0.07,7.75,1
0,0,1,0,1,0,1,0,1,0.449,2,0.07,-0.0536,7.75,1
0,0,1,0,1,0,1,0,1,0.5026,3,0.1236,0,7.75,1
1,0,0,0,0,1,0,1,0,0.3704,1,0,-0.0186,7.75,1
0,0,0,0,0,1,0,1,0,0.389,2,0.0186,-0.021,7.75,1
0,0,0,0,0,1,0,1,0,0.41,3,0.0396,-0.01,7.75,1
0,0,0,0,0,1,0,1,0,0.42,4,0.0496,-0.02,7.75,1
0,0,0,0,0,1,0,1,0,0.44,5,0.0696,-0.019,7.75,1
0,0,0,0,0,1,0,1,0,0.459,6,0.0886,-0.0492,7.75,1
0,0,0,0,0,1,0,1,0,0.5082,7,0.1378,0,7.75,1
1,0,0,0,0,1,0,1,0,0.3707,1,0,-0.0183,7.75,1
0,0,0,0,0,1,0,1,0,0.389,2,0.0183,-0.011,7.75,1
0,0,0,0,0,1,0,1,0,0.4,3,0.0293,-0.02,7.75,1
0,0,0,0,0,1,0,1,0,0.42,4,0.0493,-0.022,7.75,1
0,0,0,0,0,1,0,1,0,0.442,5,0.0713,-0.017,7.75,1
0,0,0,0,0,1,0,1,0,0.459,6,0.0883,-0.0487,7.75,1
0,0,0,0,0,1,0,1,0,0.5077,7,0.137,0,7.75,1
1,0,1,0,1,0,1,0,1,0.489,1,0,-0.0115,7.75,1
0,0,1,0,1,0,1,0,1,0.5005,2,0.0115,-0.0245,7.75,1
0,0,1,0,1,0,1,0,1,0.525,3,0.036,-0.005,7.75,1
0,0,1,0,1,0,1,0,1,0.53,4,0.041,-0.0645,7.75,1
0,0,1,0,1,0,1,0,1,0.5945,5,0.1055,0,7.75,1
0,0,0,1,0,1,0,0,1,0.06581,1,0,-0.00509,0,0
1,0,0,1,0,1,0,0,1,0.0709,2,0.00509,-0.00223,0,0
0,0,0,1,0,1,0,0,1,0.07313,3,0.00732,0,0,0
1,1,0,1,0,1,0,1,0,0.665,1,0,-0.003,5.33,1
0,1,0,1,0,1,0,1,0,0.668,2,0.003,-0.0153,5.33,1
0,1,0,1,0,1,0,1,0,0.6833,3,0.0183,-0.3567,5.33,1
0,1,0,1,0,1,0,1,0,1.04,4,0.375,-0.046799,5.33,1
0,1,0,1,0,1,0,1,0,1.086799,5,0.421799,0,5.33,1
1,0,0,0,0,1,0,1,0,0.05564,1,0,-0.00077,5.33,1
0,0,0,0,0,1,0,1,0,0.05641,2,0.00077,-0.00055,5.33,1
0,0,0,0,0,1,0,1,0,0.05696,3,0.00132,-0.00174,5.33,1
0,0,0,0,0,1,0,1,0,0.0587,4,0.00306,-0.0005,5.33,1
0,0,0,0,0,1,0,1,0,0.0592,5,0.00356,-0.00097,5.33,1
0,0,0,0,0,1,0,1,0,0.06017,6,0.00453,-0.00183,5.33,1
0,0,0,0,0,1,0,1,0,0.062,7,0.00636,-0.0042,5.33,1
0,0,0,0,0,1,0,1,0,0.0662,8,0.01056,-0.001,5.33,1
0,0,0,0,0,1,0,1,0,0.0672,9,0.01156,-0.0059,5.33,1
0,0,0,0,0,1,0,1,0,0.0731,10,0.01746,-0.0103,5.33,1
0,0,0,0,0,1,0,1,0,0.0834,11,0.02776,0,5.33,1
0,0,0,0,0,1,0,1,0,0.35652,6,0.07502,-0.04888,0,0
0,0,0,0,0,1,0,1,0,0.4054,7,0.1239,-0.0122,0,0
0,0,0,0,0,1,0,1,0,0.4176,8,0.1361,-0.0414,0,0
0,0,0,0,0,1,0,1,0,0.459,9,0.1775,0,0,0
0,0,0,0,0,1,0,1,0,0.2815,1,0,-0.0075,0,0
1,0,0,0,0,1,0,1,0,0.289,2,0.0075,-0.02,0,0
0,0,0,0,0,1,0,1,0,0.309,3,0.0275,-0.015,0,0
0,0,0,0,0,1,0,1,0,0.324,4,0.0425,-0.01172,0,0
0,0,0,0,0,1,0,1,0,0.33572,5,0.05422,-0.0208,0,0
1,0,0,0,0,1,0,1,0,0.0472,1,0,-0.00078,0,0
0,0,0,0,0,1,0,1,0,0.04798,2,0.00078,-0.00035,0,0
0,0,0,0,0,1,0,1,0,0.04833,3,0.00113,-0.00067,0,0
0,0,0,0,0,1,0,1,0,0.049,4,0.0018,-0.00023,0,0
0,0,0,0,0,1,0,1,0,0.04923,5,0.00203,-0.00026,0,0
0,0,0,0,0,1,0,1,0,0.04949,6,0.00229,-0.00091,0,0
0,0,0,0,0,1,0,1,0,0.0504,7,0.0032,-0.00008,0,0
0,0,0,0,0,1,0,1,0,0.05048,8,0.00328,-0.00062,0,0
0,0,0,0,0,1,0,1,0,0.0511,9,0.0039,-0.0005,0,0
0,0,0,0,0,1,0,1,0,0.0516,10,0.0044,-0.0009,0,0
0,0,0,0,0,1,0,1,0,0.0525,11,0.0053,-0.00045,0,0
0,0,0,0,0,1,0,1,0,0.05295,12,0.00575,-0.00235,0,0
0,0,0,0,0,1,0,1,0,0.0553,13,0.0081,0,0,0
0,0,0,0,0,1,0,1,0,0.33572,5,0.04672,-0.0208,0,0
0,0,0,0,0,1,0,1,0,0.35652,6,0.06752,-0.04888,0,0
0,0,0,0,0,1,0,1,0,0.4054,7,0.1164,-0.0122,0,0
0,0,0,0,0,1,0,1,0,0.4176,8,0.1286,-0.0414,0,0
0,0,0,0,0,1,0,1,0,0.459,9,0.17,0,0,0
1,0,0,0,0,1,0,1,0,0.289,1,0,-0.0006,0,0
0,0,0,0,0,1,0,1,0,0.2896,2,0.0006,-0.0194,0,0
0,0,0,0,0,1,0,1,0,0.309,3,0.02,-0.015,0,0
0,0,0,0,0,1,0,1,0,0.324,4,0.035,-0.01172,0,0
1,0,1,0,1,1,0,1,0,0.049,1,0,-0.0007,0,0
1,0,1,0,1,1,0,1,0,0.049,1,0,-0.0007,0,0
0,0,1,0,1,1,0,1,0,0.0497,3,0.0007,-0.00046,0,0
0,0,1,0,1,1,0,1,0,0.05016,4,0.00116,-0.00034,0,0
0,0,1,0,1,1,0,1,0,0.0505,5,0.0015,-0.0003,0,0
0,0,1,0,1,1,0,1,0,0.0508,6,0.0018,-0.00093,0,0
0,0,1,0,1,1,0,1,0,0.05173,7,0.00273,-0.00057,0,0
0,0,1,0,1,1,0,1,0,0.0523,8,0.0033,-0.0009,0,0
0,0,1,0,1,1,0,1,0,0.0532,9,0.0042,-0.00317,0,0
0,0,1,0,1,1,0,1,0,0.05637,10,0.00737,-0.00553,0,0
0,0,1,0,1,1,0,1,0,0.0619,11,0.0129,0,0,0
1,0,0,0,0,1,0,1,0,0.0503,1,0,-0.00134,0,0
0,0,0,0,0,1,0,1,0,0.05164,2,0.00134,-0.00047,0,0
0,0,0,0,0,1,0,1,0,0.05211,3,0.00181,-0.00695,0,0
0,0,0,0,0,1,0,1,0,0.05906,4,0.00876,-0.00393,0,0
0,0,0,0,0,1,0,1,0,0.06299,5,0.01269,0,0,0
0,0,0,0,0,1,0,1,0,0.279,3,0.0161,-0.03153,0,0
0,0,0,0,0,1,0,1,0,0.31053,4,0.04763,-0.00086,0,0
0,0,0,0,0,1,0,1,0,0.31139,5,0.04849,-0.01565,0,0
0,0,0,0,0,1,0,1,0,0.32704,6,0.06414,-0.06336,0,0
0,0,0,0,0,1,0,1,0,0.3904,7,0.1275,-0.0386,0,0
0,0,0,0,0,1,0,1,0,0.429,8,0.1661,-0.0023,0,0
0,0,0,0,0,1,0,1,0,0.4313,9,0.1684,0,0,0
1,0,0,0,0,1,0,1,0,0.2629,1,0,-0.0061,0,0
0,0,0,0,0,1,0,1,0,0.269,2,0.0061,-0.01,0,0
1,0,1,0,1,0,1,0,1,0.04748,1,0,-0.00132,17.69,1
0,0,1,0,1,0,1,0,1,0.0488,2,0.00132,-0.00107,17.69,1
0,0,1,0,1,0,1,0,1,0.04987,3,0.00239,0,17.69,1
0,0,1,1,0,0,1,0,0,0.0511,8,0.00854,0,17.69,1
0,0,1,1,0,0,1,0,0,0.04256,1,0,-0.00256,17.69,1
0,0,1,1,0,0,1,0,0,0.04512,2,0.00256,-0.00003,17.69,1
0,0,1,1,0,0,1,0,0,0.04515,3,0.00259,-0.00045,17.69,1
0,0,1,1,0,0,1,0,0,0.0456,4,0.00304,-0.0004,17.69,1
1,0,1,1,0,0,1,0,0,0.046,5,0.00344,-0.00055,17.69,1
0,0,1,1,0,0,1,0,0,0.04655,6,0.00399,-0.00345,17.69,1
0,0,1,1,0,0,1,0,0,0.05,7,0.00744,-0.0011,17.69,1
0,0,1,0,1,0,1,0,1,0.0476,2,0.00331,-0.0038,17.69,1
0,0,1,0,1,0,1,0,1,0.0514,3,0.00711,0,17.69,1
1,0,1,0,1,0,1,0,1,0.04429,1,0,-0.00331,17.69,1
1,1,0,1,0,0,0,0,0,0.06043,1,0,-0.00007,17.69,1
0,1,0,1,0,0,0,0,0,0.0605,2,0.00007,-0.00238,17.69,1
0,1,0,1,0,0,0,0,0,0.06288,3,0.00245,-0.00362,17.69,1
0,1,0,1,0,0,0,0,0,0.0665,4,0.00607,0,17.69,1
0,1,0,1,0,0,1,0,0,0.06,1,0,-0.00016,17.69,1
1,1,0,1,0,0,1,0,0,0.06016,2,0.00016,-0.00047,17.69,1
0,1,0,1,0,0,1,0,0,0.06063,3,0.00063,-0.00188,17.69,1
0,1,0,1,0,0,1,0,0,0.06251,4,0.00251,-0.00239,17.69,1
0,1,0,1,0,0,1,0,0,0.0649,5,0.0049,0,17.69,1
0,1,0,1,0,0,1,0,0,0.06,1,0,-0.00016,17.69,1
1,1,0,1,0,0,1,0,0,0.06016,2,0.00016,-0.00047,17.69,1
0,1,0,1,0,0,1,0,0,0.06063,3,0.00063,-0.00188,17.69,1
0,1,0,1,0,0,1,0,0,0.06251,4,0.00251,-0.00239,17.69,1
0,1,0,1,0,0,1,0,0,0.0649,5,0.0049,0,17.69,1
0,1,0,1,0,0,1,0,0,0.06,1,0,-0.00016,17.69,1
1,1,0,1,0,0,1,0,0,0.06016,2,0.00016,-0.00047,17.69,1
0,1,0,1,0,0,1,0,0,0.06063,3,0.00063,-0.00188,17.69,1
0,1,0,1,0,0,1,0,0,0.06251,4,0.00251,-0.00239,17.69,1
0,1,0,1,0,0,1,0,0,0.0649,5,0.0049,0,17.69,1
0,1,0,1,0,0,1,0,0,0.06,1,0,-0.00016,17.69,1
1,1,0,1,0,0,1,0,0,0.06016,2,0.00016,-0.00047,17.69,1
0,1,0,1,0,0,1,0,0,0.06063,3,0.00063,-0.00188,17.69,1
0,1,0,1,0,0,1,0,0,0.06251,4,0.00251,-0.00239,17.69,1
0,1,0,1,0,0,1,0,0,0.0649,5,0.0049,0,17.69,1
1,1,0,1,0,0,0,0,0,0.05435,1,0,-0.0025,17.69,1
0,1,0,1,0,0,0,0,0,0.05685,2,0.0025,-0.00705,17.69,1
0,1,0,1,0,0,0,0,0,0.0639,3,0.00955,0,17.69,1
1,1,0,1,0,0,0,0,0,0.05743,1,0,-0.001,17.69,1
0,1,0,1,0,0,0,0,0,0.05843,2,0.001,-0.00297,17.69,1
0,1,0,1,0,0,0,0,0,0.0614,3,0.00397,-0.0046,17.69,1
0,1,0,1,0,0,0,0,0,0.066,4,0.00857,0,17.69,1
0,0,0,0,1,1,0,0,1,0.0793,1,0,-0.00285,0,0
1,0,0,0,1,1,0,0,1,0.08215,2,0.00285,-0.00113,0,0
0,0,0,0,1,1,0,0,1,0.08328,3,0.00398,-0.00082,0,0
0,0,0,0,1,1,0,0,1,0.0841,4,0.0048,-0.00055,0,0
0,0,0,0,1,1,0,0,1,0.0841,4,0.0048,-0.00055,0,0
0,0,0,0,1,1,0,0,1,0.08465,6,0.00535,-0.00195,0,0
0,0,0,0,1,1,0,0,1,0.0866,7,0.0073,-0.00055,0,0
0,0,0,0,1,1,0,0,1,0.08715,8,0.00785,-0.00335,0,0
0,0,0,0,1,1,0,0,1,0.0905,9,0.0112,-0.0007,0,0
0,0,0,0,1,1,0,0,1,0.0912,10,0.0119,-0.00547,0,0
0,0,0,0,1,1,0,0,1,0.09667,11,0.01737,-0.007617,0,0
0,0,0,0,1,1,0,0,1,0.104287,12,0.024987,0,0,0
0,1,0,1,0,0,1,0,1,0.6255,1,0,-0.0455,0,0
0,1,0,1,0,0,1,0,1,0.671,2,0.0455,-0.023,0,0
0,1,0,1,0,0,1,0,1,0.694,3,0.0685,-0.029,0,0
